"Label (Grouping)","HOUSEHOLD INCOME BY RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER","HOUSEHOLD INCOME BY RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER!!Households","HOUSEHOLD INCOME BY RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER!!Households!!One race--","HOUSEHOLD INCOME BY RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER!!Households!!One race--!!White","HOUSEHOLD INCOME BY RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER!!Households!!One race--!!Black or African American","HOUSEHOLD INCOME BY RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER!!Households!!One race--!!American Indian and Alaska Native","HOUSEHOLD INCOME BY RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER!!Households!!One race--!!Asian","HOUSEHOLD INCOME BY RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER!!Households!!One race--!!Native Hawaiian and Other Pacific Islander","HOUSEHOLD INCOME BY RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER!!Households!!One race--!!Some other race","HOUSEHOLD INCOME BY RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER!!Households!!Two or more races","HOUSEHOLD INCOME BY RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER!!Households!!Hispanic or Latino origin (of any race)","HOUSEHOLD INCOME BY RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER!!Households!!White alone, not Hispanic or Latino","HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER","HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!15 to 24 years","HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!25 to 44 years","HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!45 to 64 years","HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!65 years and over","FAMILIES","FAMILIES!!Families","FAMILIES!!Families!!With own children of householder under 18 years","FAMILIES!!Families!!With no own children of householder under 18 years","FAMILIES!!Families!!Married-couple families","FAMILIES!!Families!!Married-couple families!!With own children under 18 years","FAMILIES!!Families!!Female householder, no spouse present","FAMILIES!!Families!!Female householder, no spouse present!!With own children under 18 years","FAMILIES!!Families!!Male householder, no spouse present","FAMILIES!!Families!!Male householder, no spouse present!!With own children under 18 years","FAMILY INCOME BY FAMILY SIZE","FAMILY INCOME BY FAMILY SIZE!!2-person families","FAMILY INCOME BY FAMILY SIZE!!3-person families","FAMILY INCOME BY FAMILY SIZE!!4-person families","FAMILY INCOME BY FAMILY SIZE!!5-person families","FAMILY INCOME BY FAMILY SIZE!!6-person families","FAMILY INCOME BY FAMILY SIZE!!7-or-more person families","FAMILY INCOME BY NUMBER OF EARNERS","FAMILY INCOME BY NUMBER OF EARNERS!!No earners","FAMILY INCOME BY NUMBER OF EARNERS!!1 earner","FAMILY INCOME BY NUMBER OF EARNERS!!2 earners","FAMILY INCOME BY NUMBER OF EARNERS!!3 or more earners","NONFAMILY HOUSEHOLDS","NONFAMILY HOUSEHOLDS!!Nonfamily households","NONFAMILY HOUSEHOLDS!!Nonfamily households!!Female householder","NONFAMILY HOUSEHOLDS!!Nonfamily households!!Female householder!!Living alone","NONFAMILY HOUSEHOLDS!!Nonfamily households!!Female householder!!Not living alone","NONFAMILY HOUSEHOLDS!!Nonfamily households!!Male householder","NONFAMILY HOUSEHOLDS!!Nonfamily households!!Male householder!!Living alone","NONFAMILY HOUSEHOLDS!!Nonfamily households!!Male householder!!Not living alone"
"    Percent Distribution","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","17,542","","25.5%","27.4%","1.1%","0.4%","0.0%","38.3%","7.3%","70.8%","0.4%","","2.1%","42.9%","41.8%","13.2%","","14,376","55.1%","44.9%","47.6%","26.8%","36.5%","20.3%","15.9%","7.9%","","18.6%","22.2%","25.0%","15.4%","9.0%","9.8%","","10.6%","34.3%","33.6%","21.5%","","3,166","48.7%","39.7%","9.0%","51.3%","36.2%","15.1%"
"    Median income (dollars)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","42,220","","46,181","25,563","82,784","57,344","-","47,772","52,383","47,606","-","","39,261","41,035","47,033","34,015","","44,595","37,421","56,257","56,653","53,028","29,833","23,017","42,995","34,294","","30,110","37,287","48,958","46,291","60,032","82,188","","10,995","28,067","56,158","86,142","","18,478","12,618","11,761","39,309","22,140","18,244","43,571"
"ZCTA5 90004","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Number","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","22,528","","8,856","1,199","72","5,676","60","5,654","1,011","8,899","6,284","","931","9,775","8,117","3,705","","12,310","5,298","7,012","8,089","3,653","2,825","1,257","1,396","388","","4,323","3,498","2,449","1,366","464","210","","880","4,275","5,325","1,830","","10,218","4,878","3,495","1,383","5,340","3,382","1,958"
"    Percent Distribution","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","22,528","","39.3%","5.3%","0.3%","25.2%","0.3%","25.1%","4.5%","39.5%","27.9%","","4.1%","43.4%","36.0%","16.4%","","12,310","43.0%","57.0%","65.7%","29.7%","22.9%","10.2%","11.3%","3.2%","","35.1%","28.4%","19.9%","11.1%","3.8%","1.7%","","7.1%","34.7%","43.3%","14.9%","","10,218","47.7%","34.2%","13.5%","52.3%","33.1%","19.2%"
"    Median income (dollars)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","52,775","","65,885","35,990","-","57,159","58,942","44,883","51,834","45,233","78,415","","38,942","59,431","52,009","44,194","","58,073","51,637","64,313","71,074","65,568","34,520","26,875","53,875","56,500","","53,240","49,735","67,623","73,370","72,463","70,625","","15,714","36,875","72,253","103,158","","46,222","45,943","37,313","75,772","46,705","34,769","66,731"
"ZCTA5 90005","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Number","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","16,331","","4,097","1,215","116","6,386","36","3,328","1,153","5,865","2,311","","863","7,748","4,565","3,155","","7,798","3,041","4,757","4,577","1,715","1,961","811","1,260","515","","3,407","1,845","1,487","657","224","178","","638","3,104","3,067","989","","8,533","4,362","3,495","867","4,171","2,931","1,240"
"    Percent Distribution","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","16,331","","25.1%","7.4%","0.7%","39.1%","0.2%","20.4%","7.1%","35.9%","14.2%","","5.3%","47.4%","28.0%","19.3%","","7,798","39.0%","61.0%","58.7%","22.0%","25.1%","10.4%","16.2%","6.6%","","43.7%","23.7%","19.1%","8.4%","2.9%","2.3%","","8.2%","39.8%","39.3%","12.7%","","8,533","51.1%","41.0%","10.2%","48.9%","34.3%","14.5%"
"    Median income (dollars)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","42,398","","49,915","39,754","36,705","34,347","-","45,071","50,141","42,089","64,732","","28,403","50,083","47,073","18,498","","49,552","36,495","60,011","57,464","49,926","40,966","23,116","38,358","23,900","","51,552","49,063","48,254","47,070","51,726","48,846","","17,391","30,382","66,166","77,926","","35,102","26,369","20,870","57,596","41,415","35,022","60,455"
"ZCTA5 90006","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Number","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","19,149","","6,089","922","234","4,674","36","5,959","1,235","12,055","1,257","","743","7,720","7,231","3,455","","12,655","5,387","7,268","6,492","2,661","4,261","1,942","1,902","784","","4,625","3,301","2,672","1,182","552","323","","1,218","5,023","4,309","2,105","","6,494","3,187","2,334","853","3,307","2,187","1,120"
"    Percent Distribution","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","19,149","","31.8%","4.8%","1.2%","24.4%","0.2%","31.1%","6.4%","63.0%","6.6%","","3.9%","40.3%","37.8%","18.0%","","12,655","42.6%","57.4%","51.3%","21.0%","33.7%","15.3%","15.0%","6.2%","","36.5%","26.1%","21.1%","9.3%","4.4%","2.6%","","9.6%","39.7%","34.0%","16.6%","","6,494","49.1%","35.9%","13.1%","50.9%","33.7%","17.2%"
"    Median income (dollars)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","37,375","","37,077","42,232","36,719","40,281","-","36,651","35,772","36,105","48,798","","36,003","40,164","41,026","21,818","","37,185","29,033","46,939","45,654","38,976","30,453","21,476","36,156","21,731","","32,007","35,264","45,574","44,583","49,583","77,344","","12,926","27,919","50,601","77,301","","32,468","21,128","15,500","52,583","38,387","30,668","61,959"
"ZCTA5 90007","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Number","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","12,248","","4,049","1,631","91","2,249","34","2,961","1,233","6,166","1,686","","2,536","4,387","3,489","1,836","","5,532","2,146","3,386","2,582","857","2,032","891","918","398","","1,964","1,422","1,122","600","225","199","","485","1,966","2,154","927","","6,716","3,149","1,873","1,276","3,567","2,003","1,564"
"    Percent Distribution","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","12,248","","33.1%","13.3%","0.7%","18.4%","0.3%","24.2%","10.1%","50.3%","13.8%","","20.7%","35.8%","28.5%","15.0%","","5,532","38.8%","61.2%","46.7%","15.5%","36.7%","16.1%","16.6%","7.2%","","35.5%","25.7%","20.3%","10.8%","4.1%","3.6%","","8.8%","35.5%","38.9%","16.8%","","6,716","46.9%","27.9%","19.0%","53.1%","29.8%","23.3%"
"    Median income (dollars)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","30,530","","35,140","26,419","-","14,308","-","34,862","24,176","35,293","29,331","","13,066","40,826","39,606","20,000","","41,172","32,708","46,132","60,452","66,825","28,624","20,554","37,944","30,160","","28,649","40,543","58,333","55,441","85,568","77,969","","14,137","26,171","52,781","89,550","","17,801","16,743","14,227","21,400","20,056","15,473","31,653"
"ZCTA5 90008","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Number","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","14,784","","1,885","10,640","54","698","19","889","599","2,246","900","","190","4,766","5,881","3,947","","6,576","2,414","4,162","3,440","1,220","2,230","708","906","486","","3,193","1,464","1,056","590","187","86","","1,007","2,176","2,509","884","","8,208","5,170","4,662","508","3,038","2,751","287"
"    Percent Distribution","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","14,784","","12.8%","72.0%","0.4%","4.7%","0.1%","6.0%","4.1%","15.2%","6.1%","","1.3%","32.2%","39.8%","26.7%","","6,576","36.7%","63.3%","52.3%","18.6%","33.9%","10.8%","13.8%","7.4%","","48.6%","22.3%","16.1%","9.0%","2.8%","1.3%","","15.3%","33.1%","38.2%","13.4%","","8,208","63.0%","56.8%","6.2%","37.0%","33.5%","3.5%"
"    Median income (dollars)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","47,230","","66,875","45,429","-","32,781","-","54,071","48,302","44,333","149,583","","34,000","46,697","52,724","40,652","","72,036","52,119","86,105","100,426","85,365","52,387","-","37,586","29,297","","63,898","82,857","78,333","74,888","85,911","-","","20,645","52,115","113,401","99,149","","33,882","30,945","25,208","51,629","35,278","33,825","-"
"ZCTA5 90010","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Number","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","2,282","","607","183","16","1,236","19","51","170","181","500","","133","1,238","499","412","","831","147","684","641","121","164","26","26","0","","589","90","67","85","0","0","","111","284","414","22","","1,451","718","553","165","733","616","117"
"    Percent Distribution","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","2,282","","26.6%","8.0%","0.7%","54.2%","0.8%","2.2%","7.4%","7.9%","21.9%","","5.8%","54.3%","21.9%","18.1%","","831","17.7%","82.3%","77.1%","14.6%","19.7%","3.1%","3.1%","0.0%","","70.9%","10.8%","8.1%","10.2%","0.0%","0.0%","","13.4%","34.2%","49.8%","2.6%","","1,451","49.5%","38.1%","11.4%","50.5%","42.5%","8.1%"
"    Median income (dollars)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","70,500","","85,391","-","-","74,048","-","-","70,500","67,634","88,125","","-","65,000","75,139","69,688","","68,973","121,791","64,224","84,375","125,347","60,446","-","42,500","-","","61,116","-","250,000+","-","-","-","","-","84,815","64,224","-","","69,120","59,625","-","122,171","85,052","64,200","173,295"
"ZCTA5 90011","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Number","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","24,827","","8,379","2,642","323","201","43","11,943","1,296","21,530","228","","677","10,315","10,170","3,665","","21,002","10,890","10,112","11,062","5,775","6,395","3,363","3,545","1,752","","3,719","4,415","4,924","3,823","1,978","2,143","","1,676","7,264","6,415","5,647","","3,825","1,788","1,209","579","2,037","1,417","620"
"    Percent Distribution","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","24,827","","33.7%","10.6%","1.3%","0.8%","0.2%","48.1%","5.2%","86.7%","0.9%","","2.7%","41.5%","41.0%","14.8%","","21,002","51.9%","48.1%","52.7%","27.5%","30.4%","16.0%","16.9%","8.3%","","17.7%","21.0%","23.4%","18.2%","9.4%","10.2%","","8.0%","34.6%","30.5%","26.9%","","3,825","46.7%","31.6%","15.1%","53.3%","37.0%","16.2%"
"    Median income (dollars)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","44,616","","45,204","31,161","55,972","30,547","18,750","46,751","55,486","47,109","20,694","","49,654","42,200","50,986","33,497","","43,691","36,178","54,542","51,961","45,106","32,560","22,324","44,186","33,004","","27,567","40,594","43,803","48,617","53,277","77,744","","10,927","27,075","51,239","81,566","","25,109","24,900","15,473","49,978","25,625","20,912","45,543"
"ZCTA5 90012","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Number","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","13,558","","3,485","1,140","56","6,537","5","1,639","696","2,758","2,661","","606","6,251","3,327","3,374","","4,937","1,674","3,263","3,372","1,090","1,022","364","543","220","","2,701","1,046","927","125","105","33","","893","1,592","2,058","394","","8,621","4,478","3,251","1,227","4,143","2,787","1,356"
"    Percent Distribution","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","13,558","","25.7%","8.4%","0.4%","48.2%","0.0%","12.1%","5.1%","20.3%","19.6%","","4.5%","46.1%","24.5%","24.9%","","4,937","33.9%","66.1%","68.3%","22.1%","20.7%","7.4%","11.0%","4.5%","","54.7%","21.2%","18.8%","2.5%","2.1%","0.7%","","18.1%","32.2%","41.7%","8.0%","","8,621","51.9%","37.7%","14.2%","48.1%","32.3%","15.7%"
"    Median income (dollars)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","49,905","","92,651","47,303","-","30,504","-","44,447","96,500","49,939","97,402","","48,286","83,514","43,060","15,082","","45,934","44,417","46,104","49,107","63,214","44,408","38,171","42,413","22,316","","43,904","56,563","46,875","93,042","-","40,859","","18,241","36,742","72,321","84,167","","48,515","27,248","16,424","72,690","70,453","45,825","128,036"
"ZCTA5 90013","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Number","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","7,810","","2,831","2,300","62","1,336","7","687","587","1,182","2,386","","268","3,446","2,676","1,420","","903","136","767","686","74","47","7","170","55","","771","102","30","0","0","0","","143","147","606","7","","6,907","2,387","2,113","274","4,520","3,974","546"
"    Percent Distribution","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","7,810","","36.2%","29.4%","0.8%","17.1%","0.1%","8.8%","7.5%","15.1%","30.6%","","3.4%","44.1%","34.3%","18.2%","","903","15.1%","84.9%","76.0%","8.2%","5.2%","0.8%","18.8%","6.1%","","85.4%","11.3%","3.3%","0.0%","0.0%","0.0%","","15.8%","16.3%","67.1%","0.8%","","6,907","34.6%","30.6%","4.0%","65.4%","57.5%","7.9%"
"    Median income (dollars)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","21,175","","70,383","11,313","2,500-","21,210","-","21,279","33,092","43,611","62,373","","47,821","61,907","11,466","13,009","","116,094","-","117,031","130,000","-","-","-","-","-","","115,406","92,000","-","-","-","-","","19,707","-","148,681","-","","17,365","16,363","12,457","71,638","18,725","12,920","140,815"
"ZCTA5 90014","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Number","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","5,968","","2,588","1,313","6","1,398","0","352","311","1,086","2,004","","280","3,025","1,570","1,093","","792","120","672","658","19","62","34","72","67","","610","161","21","0","0","0","","220","229","249","94","","5,176","2,062","1,812","250","3,114","2,688","426"
"    Percent Distribution","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","5,968","","43.4%","22.0%","0.1%","23.4%","0.0%","5.9%","5.2%","18.2%","33.6%","","4.7%","50.7%","26.3%","18.3%","","792","15.2%","84.8%","83.1%","2.4%","7.8%","4.3%","9.1%","8.5%","","77.0%","20.3%","2.7%","0.0%","0.0%","0.0%","","27.8%","28.9%","31.4%","11.9%","","5,176","39.8%","35.0%","4.8%","60.2%","51.9%","8.2%"
"    Median income (dollars)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","36,429","","68,598","11,797","-","12,778","-","-","73,259","-","76,477","","32,283","84,292","11,620","11,102","","98,056","-","99,625","112,692","-","33,750","-","-","-","","-","120,729","-","-","-","-","","16,803","46,756","164,063","140,474","","26,455","31,818","-","143,676","25,261","16,404","139,500"
"ZCTA5 90015","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Number","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","11,180","","4,261","948","138","2,635","0","2,396","802","4,677","2,449","","1,166","6,093","2,790","1,131","","4,074","1,681","2,393","2,449","806","1,112","624","513","251","","2,045","912","563","293","135","126","","445","1,420","1,835","374","","7,106","3,054","2,157","897","4,052","3,186","866"
"    Percent Distribution","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","11,180","","38.1%","8.5%","1.2%","23.6%","0.0%","21.4%","7.2%","41.8%","21.9%","","10.4%","54.5%","25.0%","10.1%","","4,074","41.3%","58.7%","60.1%","19.8%","27.3%","15.3%","12.6%","6.2%","","50.2%","22.4%","13.8%","7.2%","3.3%","3.1%","","10.9%","34.9%","45.0%","9.2%","","7,106","43.0%","30.4%","12.6%","57.0%","44.8%","12.2%"
"    Median income (dollars)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","48,743","","49,638","39,573","2,500-","102,834","-","31,286","66,652","38,965","72,036","","33,938","67,264","48,816","17,270","","47,273","33,950","49,919","72,083","48,969","26,265","21,797","25,417","19,323","","48,646","33,214","40,917","48,891","59,083","78,409","","-","28,631","90,054","63,750","","50,451","33,370","29,764","113,054","57,469","54,318","65,967"
"ZCTA5 90016","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Number","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","17,522","","6,521","6,400","13","1,022","17","2,126","1,423","7,188","2,386","","605","6,832","6,386","3,699","","10,247","4,351","5,896","5,588","2,339","3,423","1,640","1,236","372","","4,434","2,181","1,832","1,302","273","225","","818","4,329","3,802","1,298","","7,275","3,561","2,880","681","3,714","2,839","875"
"    Percent Distribution","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","17,522","","37.2%","36.5%","0.1%","5.8%","0.1%","12.1%","8.1%","41.0%","13.6%","","3.5%","39.0%","36.4%","21.1%","","10,247","42.5%","57.5%","54.5%","22.8%","33.4%","16.0%","12.1%","3.6%","","43.3%","21.3%","17.9%","12.7%","2.7%","2.2%","","8.0%","42.2%","37.1%","12.7%","","7,275","48.9%","39.6%","9.4%","51.1%","39.0%","12.0%"
"    Median income (dollars)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","49,958","","59,238","38,057","-","66,569","-","55,969","50,108","49,167","97,222","","35,139","54,145","54,375","40,253","","57,602","45,750","71,357","79,231","62,127","39,237","31,422","55,517","42,674","","57,662","54,073","60,980","47,589","56,250","117,344","","19,709","38,572","82,188","105,809","","40,868","34,693","26,941","82,386","44,883","36,436","73,438"
"ZCTA5 90017","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Number","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","11,938","","4,002","1,987","76","2,453","29","2,933","458","5,271","1,913","","605","5,977","3,507","1,849","","5,309","2,607","2,702","2,797","1,215","1,600","846","912","546","","2,079","1,656","694","615","132","133","","571","2,199","1,849","690","","6,629","2,562","1,888","674","4,067","3,238","829"
"    Percent Distribution","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","11,938","","33.5%","16.6%","0.6%","20.5%","0.2%","24.6%","3.8%","44.2%","16.0%","","5.1%","50.1%","29.4%","15.5%","","5,309","49.1%","50.9%","52.7%","22.9%","30.1%","15.9%","17.2%","10.3%","","39.2%","31.2%","13.1%","11.6%","2.5%","2.5%","","10.8%","41.4%","34.8%","13.0%","","6,629","38.6%","28.5%","10.2%","61.4%","48.8%","12.5%"
"    Median income (dollars)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","36,870","","42,603","30,239","25,481","57,057","-","29,543","36,250","30,177","70,738","","34,023","51,635","35,338","15,990","","32,495","24,336","48,712","41,166","29,836","24,848","17,449","30,676","22,335","","47,057","24,779","36,625","29,375","32,258","-","","10,240","25,024","50,929","59,896","","38,620","29,741","17,799","61,235","43,859","37,545","66,542"
"ZCTA5 90018","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Number","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","16,634","","4,021","6,262","101","1,310","21","3,989","930","7,436","1,401","","586","6,105","6,381","3,562","","10,800","4,582","6,218","5,748","2,435","3,631","1,700","1,421","447","","3,571","2,594","2,294","1,349","462","530","","1,243","3,708","3,813","2,036","","5,834","3,301","2,682","619","2,533","1,900","633"
"    Percent Distribution","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","16,634","","24.2%","37.6%","0.6%","7.9%","0.1%","24.0%","5.6%","44.7%","8.4%","","3.5%","36.7%","38.4%","21.4%","","10,800","42.4%","57.6%","53.2%","22.5%","33.6%","15.7%","13.2%","4.1%","","33.1%","24.0%","21.2%","12.5%","4.3%","4.9%","","11.5%","34.3%","35.3%","18.9%","","5,834","56.6%","46.0%","10.6%","43.4%","32.6%","10.9%"
"    Median income (dollars)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","49,644","","64,276","41,052","-","39,688","-","49,368","54,650","52,362","84,125","","33,125","51,875","61,783","34,500","","54,144","42,816","65,893","69,828","54,410","41,485","33,929","53,902","29,283","","44,367","53,534","64,776","52,539","94,750","91,458","","16,680","37,376","73,022","110,400","","31,238","30,158","21,841","70,598","32,831","26,456","74,083"
"ZCTA5 90019","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Number","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","24,252","","8,800","5,575","130","4,531","57","3,371","1,788","7,523","5,744","","667","9,601","9,181","4,803","","12,929","4,994","7,935","7,965","2,787","3,317","1,532","1,647","675","","5,450","3,331","2,362","976","610","200","","1,154","3,982","5,788","2,005","","11,323","6,307","4,941","1,366","5,016","3,526","1,490"
"    Percent Distribution","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","24,252","","36.3%","23.0%","0.5%","18.7%","0.2%","13.9%","7.4%","31.0%","23.7%","","2.8%","39.6%","37.9%","19.8%","","12,929","38.6%","61.4%","61.6%","21.6%","25.7%","11.8%","12.7%","5.2%","","42.2%","25.8%","18.3%","7.5%","4.7%","1.5%","","8.9%","30.8%","44.8%","15.5%","","11,323","55.7%","43.6%","12.1%","44.3%","31.1%","13.2%"
"    Median income (dollars)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","58,313","","73,106","37,712","47,321","62,204","-","54,665","60,417","53,343","102,461","","30,598","63,536","71,414","33,604","","68,157","53,007","80,540","94,601","82,238","38,711","29,054","63,914","62,869","","65,354","64,988","60,208","101,591","73,081","122,604","","24,172","38,421","95,812","112,726","","42,261","40,136","33,082","115,135","46,108","36,003","89,583"
"ZCTA5 90020","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Number","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","17,064","","3,729","1,449","279","8,329","47","2,472","759","4,453","2,415","","785","8,215","5,632","2,432","","8,880","2,869","6,011","6,064","2,103","1,908","642","908","124","","4,249","2,166","1,587","561","186","131","","719","3,271","3,900","990","","8,184","4,138","3,322","816","4,046","3,073","973"
"    Percent Distribution","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
